channel,unionname,org,name of the channel if differs from unionname,country
inascisl6895,Istituto Nazionale di Assistenza Sociale,CISL,INAS CISL,italy
CafCislVideo,CAF CISL,CISL,Caf Cis,italy
Uilanazionale,Unione Italiana Lavoratori Agroalimentari,UIL,Uilanazionale,italy
FeNEALUilNazionale,Federazione Nazionale Lavoratori Edili e Affini e del Legno,UIL,FENEALUIL NAZIONALE,italy
"UiltecNazionale,""Unione Italiana Lavoratori Tessile, Energia e Chimica"",UIL,Uiltec Nazionale,italy"
faahd101,Uilm Nazionale,UIL,,italy
Uilcanetwork,Uilca Nazionale,UIL,,italy
UILCOMUNICAZIONE,UILCOMUNICAZIONE,UIL,,italy
uilpostesegreterianazional2817,Uilposte Segreteria Nazionale,UIL,,italy
UILTucsVideo,UILTuCS - Unione Italiana Lavoratori Turismo Commercio e Servizi,UIL,UILTuCS,italy
uiltrasportinazionale5767,Uiltrasporti Nazionale,UIL,,italy
uilfplnazionale2172,UIL FPL Nazionale,UIL,,italy
uilscuolavideonews3956,UIL Scuola,UIL,UIL Scuola videonews,italy
uilmilanoelombardia916,UIL - Unione Italiana del Lavoro,UIL,UIL Milano e Lombardia,italy
uil-unioneitalianadellavor4538,UIL - Unione Italiana del Lavoro,UIL,,italy
cub-confederazioneunitaria1458,Confederazione del Comitati di Base (CUB),,CUB - Confederazione Unitaria di Base,italy
confsalVideo,CONFSAL,,,italy
unionesindacaleitalianacar4411,Unione Sindacale Italiana Carabinieri,,,italy
unionesindacaleitalianafin2917,Unione Sindacale Italiana Finanzieri,,,italy
